Type,Name,Description
Class,CalculatorCore,Main logic processor
    MemberVar,currentValue,Stores the current numeric input
    MemberVar,storedValue,Holds previous value for operations
    MemberVar,pendingOperator,Stores the selected operator

    Function,+AppendDigit,Adds a digit to current input
    Function,+SetOperator,Stores operator and prepares next input
    Function,+Compute,Performs calculation based on operator
    Function,+ClearAll,Resets calculator to initial state
    Function,-ValidateInput,Internal check for valid numeric input
    Function,#FormatDisplay,Formats output for UI

    StateMachine,MainSM,Primary calculator state machine
        State,Idle,Waiting for user input
        State,EnteringNumber,User is typing digits
        State,OperationPending,Operator selected and waiting for next value
        State,Error,Invalid input or divide-by-zero

Class,Display,Shows current value and results
    MemberVar,text,Current text displayed
    Function,+Update,Updates the display with new text

Class,Keypad,Receives button presses
    Function,+ReadKey,Returns which key was pressed

UserStorySequence,SoftReq0001,{ Actor1->Button->Object1.init->SPI->HWChip } 
